id,time,url,tweet,replies,retweets,quotes,likes
8.87078e+17,2017-07-17 22:32:00,https://twitter.com/JoeBiden/status/887077501415174148,"@washingtonpost Especially if you live in WV, NV, AK or OH now is the time to call your senators. Or, encourage your friends in these states to call.",32,768,24,1912
8.87078e+17,2017-07-17 22:32:00,https://twitter.com/JoeBiden/status/887077574899380224,"@washingtonpost I was a senator for 36 years. I can assure you that your call matters. Your viewpoint might not always win, but your senators hear you.",190,1484,65,4515
8.87844e+17,2017-07-20 01:18:00,https://twitter.com/JoeBiden/status/887844137034293248,John and I have been friends for 40 years. He's gotten through so much difficulty with so much grace. He is strong - and he will beat this.,638,14813,423,113047
8.87857e+17,2017-07-20 02:10:00,https://twitter.com/JoeBiden/status/887857097982959617,"Incredible progress in cancer research and treatment in just the last year offers new promise and new hope. You can win this fight, John.",209,2968,101,26915
8.89579e+17,2017-07-24 20:10:00,https://twitter.com/JoeBiden/status/889578666023411712,"The GOP's ""health"" plan would gut care &amp; treatment for opioid addiction. Call your senatorsâthe time to act is now. https://t.co/ZHX7KZLgXk",188,2075,80,6394
8.90218e+17,2017-07-26 14:31:00,https://twitter.com/JoeBiden/status/890218086909063169,Every patriotic American who is qualified to serve in our military should be able to serve. Full stop.,6664,240826,7811,656448
8.90276e+17,2017-07-26 18:23:00,https://twitter.com/JoeBiden/status/890276320231510017,Any final bill that looks anything like their proposals so far would be devastating.,137,1882,38,13130
8.90276e+17,2017-07-26 18:23:00,https://twitter.com/JoeBiden/status/890276418537607168,To all of you working to stop Republicansâ devastating âhealthâ bill: Thank you. Weâre not done yet. Please keep going.,218,3662,87,23219
8.90966e+17,2017-07-28 16:02:00,https://twitter.com/JoeBiden/status/890965572552466438,Thank you to everyone who tirelessly worked to protect the health care of millions. You saved lives.,1004,15315,376,104438
8.90983e+17,2017-07-28 17:12:00,https://twitter.com/JoeBiden/status/890983396746313728,Hope to see you at a stop this fall on my #AmericanPromiseTour â tickets are available now: https://t.co/Y7IzxK9m5l https://t.co/LnW8Ob2ah8,230,569,98,3823
8.9213e+17,2017-07-31 21:10:00,https://twitter.com/JoeBiden/status/892130294572167169,Thrilled to see the 2028 Olympics coming to Los Angeles. Thanks to @MayorOfLA Garcetti who worked hard to secure a big win for US athletics.,223,2006,196,16350
8.93478e+17,2017-08-04 14:26:00,https://twitter.com/JoeBiden/status/893478138822479872,"Your service has been a great gift to the country, and your friendship and brotherhood are a great gift to me. Happy birthday, @BarackObama. https://t.co/1uSEkU01k9",4260,112422,9596,485788
8.96457e+17,2017-08-12 19:41:00,https://twitter.com/JoeBiden/status/896456601401524226,"No. Not in America. We must be stronger, more determined and more united than ever. Racism and hate have no place here. #charlottesville",2608,67513,1818,218890
8.96496e+17,2017-08-12 22:18:00,https://twitter.com/JoeBiden/status/896496130497929220,There is only one side. #charlottesville,5452,129347,4701,404063
8.98332e+17,2017-08-17 23:53:00,https://twitter.com/JoeBiden/status/898332043620237312,Praying tonight for the victims of #Barcelona attack &amp; their families. Heinous acts of terror cannot break the spirit of our Spanish friends,324,4783,99,38230
9.00747e+17,2017-08-24 15:49:00,https://twitter.com/JoeBiden/status/900746818572632064,"A first look at the cover for my new book, PROMISE ME, DAD https://t.co/Ce1eY5Bghw https://t.co/QRXipZz0Ef",341,1305,159,11261
9.01876e+17,2017-08-27 18:36:00,https://twitter.com/JoeBiden/status/901876067555790850,"We are living through a battle for the soul of this nation.
https://t.co/2XtpeyhVex",2038,22127,1502,58089
9.05111e+17,2017-09-05 16:48:00,https://twitter.com/JoeBiden/status/905110522512764930,"Brought by parents, these children had no choice in coming here. Now they'll be sent to countries they've never known. Cruel. Not America.",9821,245964,5937,586887
9.05877e+17,2017-09-07 19:35:00,https://twitter.com/JoeBiden/status/905877262813335552,Any change that weakens Title IX protections will be devastating: https://t.co/8E3n3RIMTS,244,4541,216,14193
9.06698e+17,2017-09-10 01:56:00,https://twitter.com/JoeBiden/status/906697794467057668,Jill and I are praying for the safety of everyone in the path of Hurricane Irma this weekend. Stay strong - the country stands with you.,409,5384,149,43103
9.07238e+17,2017-09-11 13:41:00,https://twitter.com/JoeBiden/status/907237711295238145,"16 years ago today, terror tried to break us. It did not, and will never, succeed. Our grit &amp; determination are the strongest force I know.",668,17286,392,86460
9.08081e+17,2017-09-13 21:33:00,https://twitter.com/JoeBiden/status/908081316922568704,"23 years ago today, the Violence Against Women Act became law. VAWA is changing the culture &amp; saving lives, but our work continues. #VAWA23",319,6332,234,29084
9.08415e+17,2017-09-14 19:39:00,https://twitter.com/JoeBiden/status/908414942751150080,America is strongest when we lead with our valuesâat home and abroad. https://t.co/g8vGlXdeqz,180,1495,84,7684
