tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
848316838446456833,Thanks @TheRealBuzz! That cute little guy is the future! https://t.co/nx75sAUYW8,en,Tweet,1,821,100,130,,2017-04-02 02:31:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/TheRealBuzz/status/846025808745545730,,
847523788921032704,My parents rock. https://t.co/uPAJ1SaR4p,en,Tweet,0,2077,334,195,,2017-03-30 21:59:52,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,http://www.geekwire.com/2017/bezos-family-makes-record-breaking-35m-donation-fred-hutch-fund-cancer-research/,,
847217297257185281,Impossible to express how personally meaningful this is. A dream. Huge kudos to @BlueOrigin team that worked so hard https://t.co/q2P0Lsi81U https://t.co/D56XNkIiBP,en,Tweet,0,1305,307,101,,2017-03-30 01:41:58,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,"https://naa.aero/userfiles/files/documents/Press%20Releases/Collier%20Trophy%202016.pdf,https://twitter.com/NatlAero/status/847178033425498112",,
843692770405617664,I just got to pilot an awesome (and huge) robot thanks to Hankook Mirae Technology. Nice! #MARS2017 https://t.co/MvN6ghEYFi,en,Tweet,40,5287,2076,420,,2017-03-20 07:16:46,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#MARS2017,,photo,https://pbs.twimg.com/media/C7Vl-gtWkAAkj-Y.jpg
841342440405577733,"Thanks LA Times for choosing WaPo's Arc Publishing for your digital platform, and kudos to tech team at The Post! https://t.co/zhHgVZvXh1",en,Tweet,0,511,124,69,,2017-03-13 19:37:23,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,http://wapo.st/latimes,,
840223951842295809,OK. Definitely want to buy a bottle of this… https://t.co/saLQyiaV2c,en,Tweet,1,1195,216,87,,2017-03-10 17:32:55,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://twitter.com/seattletimes/status/838993874701987841,,
839468386530824193,Adding to the #NewGlenn launch manifest. Agreement with #OneWeb for five launches initially. Happy to work with you @Greg_Wyler https://t.co/4m5LiTzl9R,en,Tweet,1,910,234,77,,2017-03-08 15:30:34,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#NewGlenn,#OneWeb",,photo,https://pbs.twimg.com/media/C6ZjyXSWQAAvj3k.jpg
839112645957541890,Excited to announce we have signed our 1st #NewGlenn customer. Welcome to the launch manifest @Eutelsat_SA https://t.co/fTeKKneYnJ,en,Tweet,1,1083,284,85,,2017-03-07 15:56:59,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#NewGlenn,,photo,https://pbs.twimg.com/media/C6UgYYrUsAAu-A-.jpg
838748973598900225,Here’s one more shot of BE-4 in its transport cradle. https://t.co/T2HdZ3UtQZ,en,Tweet,1,1864,561,106,,2017-03-06 15:51:53,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/C6PVqvpWMAIDq4V.jpg
838748139964272640,1st BE-4 engine fully assembled. 2nd and 3rd following close behind. #GradatimFerociter https://t.co/duE4Tnzvkx,en,Tweet,0,1571,533,90,,2017-03-06 15:48:34,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#GradatimFerociter,,photo,https://pbs.twimg.com/media/C6PUsspWYAAVu1Z.jpg
